epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.71875,,0.7766672372817993,,
0,99,,,,0.78125,,0.5870809555053711,,
0,149,,,,0.875,,0.3032735288143158,,
0,199,,,,0.78125,,0.5405727624893188,,
0,249,,,,0.71875,,0.6987403631210327,,
0,299,,,,0.859375,,0.3636358678340912,,
0,349,,,,0.765625,,0.5620228052139282,,
0,399,,,,0.921875,,0.30004340410232544,,
0,449,,,,0.890625,,0.28873828053474426,,
0,499,,,,0.875,,0.3596113920211792,,
0,549,,,,0.8125,,0.42131054401397705,,
0,599,,,,0.890625,,0.32395628094673157,,
0,649,,,,0.859375,,0.3955931067466736,,
0,699,,,,0.921875,,0.3169136345386505,,
0,749,,,,0.859375,,0.32079190015792847,,
0,781,,,,,,,0.8813999891281128,0.3230847716331482
0,781,,,0.8189799785614014,,0.49473315477371216,,,
1,799,,,,0.84375,,0.403349906206131,,
1,849,,,,0.84375,,0.3359411358833313,,
1,899,,,,0.90625,,0.2508769631385803,,
1,949,,,,0.921875,,0.3281838297843933,,
1,999,,,,0.859375,,0.3083825409412384,,
1,1049,,,,0.890625,,0.2405485361814499,,
1,1099,,,,0.90625,,0.22616127133369446,,
1,1149,,,,0.890625,,0.31047260761260986,,
1,1199,,,,0.84375,,0.38378652930259705,,
1,1249,,,,0.9375,,0.19398133456707,,
1,1299,,,,0.84375,,0.43786942958831787,,
1,1349,,,,0.90625,,0.38300955295562744,,
1,1399,,,,0.921875,,0.32529109716415405,,
1,1449,,,,0.859375,,0.4139367938041687,,
1,1499,,,,0.921875,,0.2571987807750702,,
1,1549,,,,0.890625,,0.1905657947063446,,
1,1563,,,,,,,0.8927000164985657,0.2897033393383026
1,1563,,,0.8905799984931946,,0.2993745505809784,,,
2,1599,,,,0.921875,,0.20987626910209656,,
2,1649,,,,0.875,,0.4239630699157715,,
2,1699,,,,0.875,,0.27749425172805786,,
2,1749,,,,0.875,,0.4315137565135956,,
2,1799,,,,0.921875,,0.19898688793182373,,
2,1849,,,,0.90625,,0.30452030897140503,,
2,1899,,,,0.921875,,0.27659037709236145,,
2,1949,,,,0.921875,,0.2638300359249115,,
2,1999,,,,0.90625,,0.3339618742465973,,
2,2049,,,,0.921875,,0.24736575782299042,,
2,2099,,,,0.90625,,0.16479343175888062,,
2,2149,,,,0.90625,,0.4043543338775635,,
2,2199,,,,0.90625,,0.18105506896972656,,
2,2249,,,,0.875,,0.20816299319267273,,
2,2299,,,,0.96875,,0.14455877244472504,,
2,2345,,,,,,,0.9060999751091003,0.25368359684944153
2,2345,,,0.9073799848556519,,0.25074502825737,,,
3,2349,,,,0.921875,,0.25095582008361816,,
3,2399,,,,0.890625,,0.21818681061267853,,
3,2449,,,,0.859375,,0.27871277928352356,,
3,2499,,,,0.9375,,0.1455845683813095,,
3,2549,,,,0.921875,,0.23455362021923065,,
3,2599,,,,0.96875,,0.1264057606458664,,
